id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1455307886553300996,1455307886553300996,2021-11-02 06:56:53 Malay Peninsula Standard Time,2021-11-02,06:56:53,+0800,241394761,pnppio,Philippine National Police,,"Calamba City, Laguna | November 2, 2021.  https://t.co/mqaK9RLJZQ",in,[],['https://fb.watch/90avG1JPSQ/'],[],0,6,24,[],[],https://twitter.com/pnppio/status/1455307886553300996,False,,0,,,,,,,,[],,,,
1455170989956866053,1455170989956866053,2021-11-01 21:52:54 Malay Peninsula Standard Time,2021-11-01,21:52:54,+0800,241394761,pnppio,Philippine National Police,,"PRO3 Change of Command Ceremony San Fernando, Pampanga  November 1, 2021     https://t.co/kt4icvh1B8",in,[],['https://www.facebook.com/100044524385640/posts/425004525660357/?d=n'],[],0,4,22,[],[],https://twitter.com/pnppio/status/1455170989956866053,False,,0,,,,,,,,[],,,,
1455075599597277188,1455075599597277188,2021-11-01 15:33:51 Malay Peninsula Standard Time,2021-11-01,15:33:51,+0800,241394761,pnppio,Philippine National Police,,"PNP Chief Police General Guillermo Lorenzo T. Eleazar leads the Turnover of Office for Civil Security Group and Retirement Honors for CSG Director, PMGen Ferdinand B Daway at Multi Purpose Center, Camp BGen Rafael T Crame, Quezon City on November 1, 2021  https://t.co/PhUCpxD8KH",en,[],['https://fb.watch/8-ku9qJtOu/'],[],0,13,46,[],[],https://twitter.com/pnppio/status/1455075599597277188,False,,0,,,,,,,,[],,,,
1455067084170227714,1455067084170227714,2021-11-01 15:00:01 Malay Peninsula Standard Time,2021-11-01,15:00:01,+0800,241394761,pnppio,Philippine National Police,,ELEAZAR LAUDS ARREST OF COUPLE IN KAPA INVESTMENT SCAM   Read more: https://t.co/5AIRz5jj9s  #PulisNgPilipino #WeServeAndProtect #IntensifiedCleanlinessPolicy #InvestmentScam   https://t.co/5enzGQHK0a  https://t.co/EyNPCuygbF  https://t.co/2kygzQLbh5,en,[],"['https://pnp.gov.ph/eleazar-lauds-arrest-of-couple-in-kapa-investment-scam/', 'https://facebook.com/GeneralEleazar', 'https://facebook.com/pulismagiting']",['https://pbs.twimg.com/media/FDFvyo8VIAAlQmh.jpg'],3,17,55,"['pulisngpilipino', 'weserveandprotect', 'intensifiedcleanlinesspolicy', 'investmentscam']",[],https://twitter.com/pnppio/status/1455067084170227714,False,,1,https://pbs.twimg.com/media/FDFvyo8VIAAlQmh.jpg,,,,,,,[],,,,
1455031257025302538,1455031257025302538,2021-11-01 12:37:39 Malay Peninsula Standard Time,2021-11-01,12:37:39,+0800,241394761,pnppio,Philippine National Police,,"Standby for Rektang Konek Aksyon Agad | November 1, 2021  https://t.co/UTVFJkDrbA",tl,[],['https://www.facebook.com/462115693829692/posts/6440810995960102/?d=n'],[],0,11,36,[],[],https://twitter.com/pnppio/status/1455031257025302538,False,,0,,,,,,,,[],,,,
1455024483392049165,1455024483392049165,2021-11-01 12:10:44 Malay Peninsula Standard Time,2021-11-01,12:10:44,+0800,241394761,pnppio,Philippine National Police,,"StJosephchs Crame fb Livestream Mass@12:15pm November 1,2021.  https://t.co/oU97ZQZFxQ",ht,[],['https://www.facebook.com/stjosephchs.crame.7/videos/314370477025084/?d=n'],[],0,3,22,[],[],https://twitter.com/pnppio/status/1455024483392049165,False,,0,,,,,,,,[],,,,
1455002897146544130,1455002897146544130,2021-11-01 10:44:57 Malay Peninsula Standard Time,2021-11-01,10:44:57,+0800,241394761,pnppio,Philippine National Police,,ELEAZAR HAILS TAWI-TAWI DRUG OPS YIELDING PHP5.3-M COCAINE   Read more: https://t.co/lt9dSkejmk  #PulisNgPilipino #WeServeAndProtect #IntensifiedCleanlinessPolicy #AntiIllegalDrugsCampaign   https://t.co/5enzGQHK0a  https://t.co/EyNPCuygbF  https://t.co/f0O5a313sn,tl,[],"['https://pnp.gov.ph/eleazar-hails-tawi-tawi-drug-ops-yielding-php5-3-m-cocaine/', 'https://facebook.com/GeneralEleazar', 'https://facebook.com/pulismagiting']",[],0,28,61,"['pulisngpilipino', 'weserveandprotect', 'intensifiedcleanlinesspolicy', 'antiillegaldrugscampaign']",[],https://twitter.com/pnppio/status/1455002897146544130,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1455002745123983360/pu/img/xsuRCd449mB2MG1p.jpg,,,,,,,[],,,,
1454997622318526466,1454997622318526466,2021-11-01 10:24:00 Malay Peninsula Standard Time,2021-11-01,10:24:00,+0800,241394761,pnppio,Philippine National Police,,"San Fernando, Pampanga, Sto. Domingo Memorial Garden, bayan ng Minalin.  https://t.co/4yibFogLMT",in,[],['https://fb.watch/8-2heZphJo/'],[],0,5,24,[],[],https://twitter.com/pnppio/status/1454997622318526466,False,,0,,,,,,,,[],,,,
1454995862661201921,1454995862661201921,2021-11-01 10:17:00 Malay Peninsula Standard Time,2021-11-01,10:17:00,+0800,241394761,pnppio,Philippine National Police,,ELEAZAR WANTS COPS TO SUSTAIN ENHANCED VISIBILITY TO CURB STREET CRIME AHEAD OF HOLIDAY SEASON   Read more: https://t.co/sYKLgWFlhF   #PulisNgPilipino #WeServeAndProtect #IntensifiedCleanlinessPolicy #PoliceVisibility #HolidaySeason   https://t.co/5enzGQHK0a  https://t.co/EyNPCuygbF  https://t.co/rmgc6LD3lv,en,[],"['https://pnp.gov.ph/eleazar-wants-cops-to-sustain-enhanced-visibility-to-curb-street-crime-ahead-of-holiday-season/', 'https://facebook.com/GeneralEleazar', 'https://facebook.com/pulismagiting']",['https://pbs.twimg.com/media/FDEvA8YVkAoGjbp.jpg'],0,24,59,"['pulisngpilipino', 'weserveandprotect', 'intensifiedcleanlinesspolicy', 'policevisibility', 'holidayseason']",[],https://twitter.com/pnppio/status/1454995862661201921,False,,1,https://pbs.twimg.com/media/FDEvA8YVkAoGjbp.jpg,,,,,,,[],,,,
1454992803277119489,1454992803277119489,2021-11-01 10:04:51 Malay Peninsula Standard Time,2021-11-01,10:04:51,+0800,241394761,pnppio,Philippine National Police,,PNP CHIEF TASKS HPG TO ASSIST DOTR IN PILOT RUN OF INCREASE IN PUVS’ PASSENGER CAPACITY    Read more: https://t.co/3rnpUDgLPW   #PulisNgPilipino #WeServeAndProtect  #IntensifiedCleanlinessPolicy #DOTR #IncreasePUVPassengerCapacity   https://t.co/5enzGQHK0a  https://t.co/EyNPCuygbF  https://t.co/f7cZcTq6lA,en,[],"['https://pnp.gov.ph/pnp-chief-tasks-hpg-to-assist-dotr-in-pilot-run-of-increase-in-puvs-passenger-capacity/', 'https://facebook.com/GeneralEleazar', 'https://facebook.com/pulismagiting']",[],1,23,60,"['pulisngpilipino', 'weserveandprotect', 'intensifiedcleanlinesspolicy', 'dotr', 'increasepuvpassengercapacity']",[],https://twitter.com/pnppio/status/1454992803277119489,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1454992480928104451/pu/img/CIq0Fd7xhSc9Twtn.jpg,,,,,,,[],,,,
